Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guyana,8315.74791817693,8629.957187524325,9773.54256527559,10716.801339287274,12544.288999361275,12841.83203687546,14619.038677955494,16833.872133618173,18325.97260251947,20301.353134441048,26250.58286566759,30002.906637709835
Venezuela,3939838.116997208,4249631.85091813,3773142.586612241,3433600.5028530904,2780757.578050164,2818782.140742772,3650708.7287511737,2705573.1912518195,2952267.7063069507,2725306.007020567,2612221.9559101,2709193.5889218627
Uruguay,193406.31884403309,195021.0778543564,208308.8954595816,200793.76107524888,216804.0620292657,220412.9013389992,226048.328439473,231639.85779448217,226720.4017198324,234055.17957666767,249518.4605679628,254070.8252468276
Argentina,3348114.352854257,3398684.297271613,3534015.458591705,3388300.674976638,3654622.238406035,3719818.517462956,3757113.3937381776,3649002.5315652895,3592094.563691935,3848987.421938205,3990233.842749952,3927380.631362381
Chile,678075.0620299783,668251.5127176013,674220.0517970073,689413.9375463412,730992.0493465528,758272.5720240918,777722.7900244165,804099.7980612372,823147.876675673,881928.4712376697,1030865.71302108,1118740.0845885302
Brazil,6896117.795947004,7123916.035852585,6914774.405963808,7017271.25968061,7606144.410430112,7694458.143666743,7553174.442353598,7641874.377814133,7849988.284099441,7970740.39898785,9083428.090025049,9619318.47480086
Bolivia,229168.61183078185,254014.5307377065,282621.03136325703,304223.6068586462,324902.52625805675,331494.57702804985,340191.7718969272,338867.3128056428,335282.9105655662,358782.99064859096,390488.7516199354,386715.6528383805
Ecuador,380207.87476195337,445177.9869789826,455302.685467726,497046.87920255214,517476.6227683299,556959.6562107791,580044.7139938906,555834.2293523663,607607.8736723475,630477.2504617017,770356.251716526,783972.7892613173
Uzbekistan,626950.7238377155,562913.1436433952,483766.632232238,472948.9765341408,504334.5002713167,472710.7750134243,511547.14502099616,542920.9323427923,641846.449663071,663094.4906585452,717872.9100016064,699811.951176887
Kazakhstan,2072294.961458943,2247664.211605281,1856973.563686744,1501747.7794500005,1515230.9753761466,1439807.1493025443,1386918.9832131546,1363543.6251422088,1542646.7697994213,1566261.7078297976,1614243.0014010314,1848641.9391121285
Kyrgyzstan,97150.29097034811,105416.49382914844,95042.82718592268,103422.87697140424,124467.52468079516,133017.52317693766,154846.28247202054,167696.85333783997,170938.11143136062,164483.8270123912,199044.4014468813,210559.0188262608
Tajikistan,69987.37281560039,63967.29739534775,67777.83016465591,67863.40751640916,81387.0252249171,80375.84887228813,89576.29630245476,99142.84116419787,95620.67249099036,109102.65726710926,128941.44386603712,127384.35224785158
Turkmenistan,875405.7578259591,831896.1475328625,801191.4431093507,760849.4246445553,806793.0518680726,750901.0591123801,686490.551836741,720051.7638211999,647237.4715660635,648347.1692110049,706001.0093437319,766228.9311699645
Mongolia,58212.95848145096,56239.22724922765,57747.62972755698,62073.72672191712,71135.25006192052,73279.68553120086,85125.24358944899,98385.81302002208,101317.72619296944,129115.65233897485,151261.4315265331,163176.0180376876
Republic of Korea,1593320.037445617,1520575.6951376903,1526755.2330325455,1570209.3645907568,1751010.9713679974,1811576.1735520568,1838878.9236856047,1886497.7511742983,1949089.0383117115,2099881.2947993167,2036451.8256868508,2127013.005196393
