Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Niger,19460.87508985169,20692.4372491955,16105.242433431438,15529.039185331085,17985.52674670459,20294.77662132225,22660.29394101658,26126.76584082497,30636.88813462059,34707.94646428379,35992.37976081301,40575.19561247148
Guinea-Bissau,489.7397130956837,434.1883975817603,893.4032529273162,1006.1006041449306,1057.0321489199118,1044.4275226430564,1134.2018014292507,1127.1783213100596,1368.0689695898222,2168.229290705101,2146.792195650876,2615.35933487392
Cape Verde,3607.898491509054,4025.154859599793,3918.827916934369,4236.05566043918,5500.430712318126,5899.110956821194,6171.164984795565,6017.395753828569,6017.186294412727,6453.539709051855,6488.281771075494,6377.903094979013
Benin,13435.864262161092,13309.477609729607,14609.508332717154,14577.356082418451,17996.38739672444,22136.813059046865,22476.10999327396,26740.914463611152,32039.749267309104,34227.40624286849,35070.111412453414,40141.4594348835
Nigeria,709788.2403625781,677124.795987169,746912.2024334822,565846.7209644992,702432.0021403037,829913.5425267379,781075.8483502748,735077.2448825082,742988.3207020974,586137.6224039225,577429.392184973,698880.1721667617
Gambia,3216.509993601765,3092.921197026984,3194.028257429658,3256.097545858198,2976.9018910266013,3393.155440272305,3732.714786165778,4510.411465192772,5874.100017027646,7635.945957692697,9197.81459964479,11844.903925869865
Burkina Faso,23394.156405853035,23442.70836726431,24081.909332353407,25226.475071719407,29138.068494005587,31098.33674863629,33052.03957184986,38059.99177338738,43417.57458080942,47108.78981056821,51588.60152474139,54050.663497997375
Liberia,2455.2198944306547,2341.9127002516507,2463.2229920498594,2333.9662465738907,3200.455502810433,3725.7847410455342,3730.54528658805,4001.2471116371007,5307.324016272789,5808.632492050939,7952.957119851018,9323.763565137571
Senegal,26451.18425394812,29831.58461867541,31667.90285125113,32856.92547357376,40801.47509281751,44872.11037982591,50535.27781190979,56680.3697709067,69367.08208161099,87064.41740678303,105631.54090083536,130650.20137785186
Mauritania,12761.38539697734,13961.96463001867,14944.166089729526,17894.33252348903,22204.12987964264,26475.11739595953,28411.072982252223,27115.969425350784,30359.620352115064,33421.77757570592,37589.63152623399,42706.924143240845
Côte d'Ivoire,80570.3990682816,91395.87041033272,103351.71127699908,114246.69454479708,140140.66048398352,153213.62513815577,155225.89851716277,209916.413710033,256837.5458682172,284188.0932648619,300768.66589197214,334275.6650250087
Sierra Leone,2332.143523922856,2659.3448084095385,2488.863731489345,2594.41077471885,3142.0240858221173,3622.976628863649,3763.4910553511454,3942.24544020716,4330.198473574015,5375.479428533599,5884.533902734635,6276.071295445338
Mali,20339.58233454077,21841.986720493354,24191.919062883026,27491.084839243136,34882.9499859049,37467.61233052015,39393.83024407424,43766.21711937557,49538.51177643036,54961.90067552001,58042.7067259965,43190.30531343186
Togo,10130.91174645092,11771.111563418375,15050.589473884676,16444.609823402396,19275.31532331149,21300.96556969869,20852.69034051025,24057.825918636976,30675.19492092316,32485.836261723754,35948.04759889913,42273.77463453636
Guinea,7616.833902929417,7157.2563549569895,8021.269870278647,12382.7819164727,15159.072287462624,18443.95019596868,18318.873586825528,20871.65140806028,23566.980975139137,24228.83493798597,30167.515561863314,36637.64796253711
