Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zimbabwe,667670.2028479336,869407.2830096578,1024683.7268885972,643906.0850283655,883293.5446495181,921389.1061525546,737856.070057111,823006.8037082688,988502.2199682002,1157560.7681708222,1356810.7736352975,1111493.7113420104
United Republic of Tanzania,1554043.9743946055,1308126.262336352,1981171.383244087,1405071.4551254944,1983362.0263327905,1900041.056380506,1470744.5121542052,2180480.6898680707,2441028.3208768787,2398572.8532217764,2564139.4034861936,2762002.499568995
Kenya,745368.5006604135,769640.78551239,829272.6817187238,634707.8334744511,1335631.9355955415,1093368.8905216933,940471.0088522432,1168390.46959875,1460126.9854535726,1336799.6101214506,1721608.7960394546,1622484.5450296574
Equatorial Guinea,53208.69832295632,42101.301739147006,68726.98657061195,44967.85421349761,81925.29175503652,69427.6800962923,59864.07805518751,64604.52134735488,54637.8543683782,83300.8175973637,88339.67369109052,93134.83678114478
Democratic Republic of the Congo,3608296.797444823,3072033.4220136744,4058870.210022759,4138771.6768000713,5377141.630029834,5108480.48159351,3750404.15611193,4705502.896792601,5699562.245316091,6675921.186545882,6979987.340958301,7517839.777647931
Cameroon,727128.674401025,516099.8925874976,696644.6977480983,593794.6296314914,1107195.970781278,936886.1196313748,830733.7704775885,904469.3293316712,976650.0162417104,1238161.8552105082,1258080.981064214,1565938.686654805
South Sudan,2425488.6505320566,3760770.3533310527,3398815.9811913664,3191438.5984071554,2655126.3852193514,2444216.42672536,2018110.6982609225,2149053.5124183106,2593644.0488548507,2684488.913323631,2671227.642043563,3776207.6413437
Sao Tome and Principe,2560.851321315151,2473.2780548241826,3625.291646529879,2669.726695779894,4332.677848557629,3813.145504875805,3532.413972719831,3767.287556044264,3947.700403250169,4299.293570360834,5090.259286963823,4889.484015588199
Gabon,510119.7482455548,382170.8759732267,523730.7735021188,392202.1526123359,690170.2995315797,628924.1960972399,571324.9215022112,529727.0169662049,589835.3598400995,797153.739658284,841444.3477170849,933677.0375060552
Chad,1624294.9843283962,1364610.7115470292,1564150.2587488196,1524958.106138081,2498558.952029381,2231325.8370613186,1812432.3667932365,2494019.994232943,2429970.482438504,2769931.7798128086,3109626.6608270584,2956198.2035897137
Congo,704748.5981963021,478934.6802266763,619045.5582917046,587364.0644989301,994585.3525063526,879400.3443889664,794306.0038906061,808655.6665950215,1010185.5050694186,1310812.12789799,1457666.308914923,1447522.135697918
Central African Republic,1483317.64213881,1355131.5889587833,1543083.7361483204,1883415.4454469893,2031841.1979081824,1629250.403110277,1564054.956919561,1809075.572925293,2207904.9197991467,2216165.831732944,2057664.58110739,2395895.646815896
Angola,2471317.785210182,2220042.151572749,2404280.642853905,2423564.973443656,3025578.053530705,2731293.920493912,2518040.8856882886,3167482.301692224,3266719.86348327,3750463.728783143,4243748.297765753,4506131.381725634
Morocco,1405763.877433371,1383698.3430498843,1614025.5179391785,1407223.502618871,1843755.307256248,1740821.574380892,1795181.0113060398,1980313.739022497,1982641.7973618829,2086461.5810789275,2214861.3905695663,2312789.527878488
