Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Morocco,506640.938376064,468290.46768967534,508276.0575455227,576475.7972784747,941611.9326214488,914634.9611213342,850071.8713915052,899774.3545009242,1115261.1353455158,1021624.5613047038,1226985.760831057,1301695.7882026464
Tunisia,243661.7299799595,272905.7896131143,244941.38285601404,283180.8792746953,446804.7476188056,435206.6369016988,440271.161422812,418592.5300388213,536094.0347967135,461588.5505292647,587571.7289320866,616779.5192022704
Egypt,2121051.1506249444,1615627.5174601895,1927837.299376212,1960649.9225635005,2754357.877790447,2748954.6495273174,2704966.8816612754,2511679.910683363,3191602.984340591,2669587.889132505,3190651.026741583,3263883.975036099
Algeria,1640148.1698863583,1346978.3744912338,1584108.1851034549,1753514.4474508008,3502846.838770306,3365836.0989105934,2825205.8864436685,2814143.684905201,4125851.413936388,3165553.5262423265,4837173.779363234,5272005.120348214
Libyan Arab Jamahiriya,638316.8263244063,87372.90965332725,372085.85232309,310565.2826067638,1730372.9218354372,1689146.6378074884,1316956.6460841317,1068169.5731282,2366362.4614212736,1819851.8939823257,2927480.770068764,3078496.6701905467
Sudan,-547440.561544046,-1322620.2310381029,-187896.26446442984,-926093.0113578568,438563.6839052084,710491.2992676124,348420.25296042435,345934.211814586,1090425.4593371851,839768.6212499682,1466157.5653707157,1432052.920060684
Botswana,-190996.0670935373,-337351.08025080216,-321256.1261249438,-271814.1317249291,161822.22454014336,175497.84074879522,107372.53103052544,191256.1196591332,365516.773294738,-171409.81212569808,411683.4380476491,428162.6362284144
Lesotho,4713.361803152312,-10127.786369830885,-11366.613497364626,-5933.491630490618,19329.26307630548,15777.90789409295,15080.250466926114,20826.06604027945,26665.10552193052,22724.68787281838,30980.49246266629,36909.49117571721
Swaziland,10549.359514009437,5836.158728545742,5904.525020201933,7319.139202101541,21731.819019701983,19799.88156017571,20256.690129455103,21692.572738048173,26956.976657882544,21006.347614668783,30789.585313141764,33159.30345422363
South Africa,992334.6436685432,429908.81205533154,556944.3308198603,705027.4913018253,1671255.321223748,1564323.2657033843,1555645.47295199,1555137.2885759138,1931659.83745056,863915.8270532514,2058532.8619532413,2281407.0251296274
Namibia,-217740.2482708599,-469772.116702106,-434348.3658759223,-390082.48058886494,238976.51529374093,231280.49037522363,146513.75233562483,202950.02230776777,490755.1789999509,-126964.74455822678,592274.0613700474,643870.6558572924
Niger,-265166.09623141243,-601489.944801189,-37280.43858225247,-425528.45692173473,287272.56073144224,500238.26429801714,232614.55755312697,24014.05913778661,812934.2513581946,617006.588404709,1042814.2189573128,1125581.6885322016
Guinea-Bissau,-14250.82061151904,-16271.446842971009,-4708.692059822904,-17504.881676874033,6593.501165491616,8717.257228572345,3498.121821468786,450.85748562401307,21058.5713400852,20328.589286943406,21082.40009579791,22385.153029327423
Cape Verde,738.1951325293168,1702.8237538702374,2071.242644951085,821.3483398052808,4035.9051248512615,4765.919708618978,4228.984538408387,3746.264428612984,5853.758033800792,5155.73298766902,7157.980984253836,6208.019372445034
Benin,-33353.593093052645,-45202.29276069715,-6847.100358494037,-41946.1180111228,27335.32557045548,51863.84386962463,17158.15903275077,28726.181140190434,95256.48794752132,110439.73306071723,87108.39617450481,97589.64405029888
Nigeria,-47981.53660471595,-243698.73739953365,187323.16039414305,-142786.55896386527,495343.6295054609,681402.0891157734,419464.5467928652,497400.4532263279,989690.962491732,707851.1473997729,819749.0201408664,845515.8962078223
Gambia,-1962.013085262313,-2899.345562941716,1062.3632082905826,-2754.4377726816274,3435.911083101828,5654.650001967657,3788.075585344569,2558.103818944253,11056.232852485296,11140.618523883342,13509.304495890432,14228.553851172925
Burkina Faso,-88755.69885731283,-100573.8387539646,-23040.75151746717,-106737.7129924486,46836.967666951285,121642.70024403738,21328.91132381732,50774.99345585085,199315.6619779507,120306.01311006886,216313.6513433581,229101.4551963017
Liberia,-31987.87419236775,-25595.781052621576,-9754.794639207445,-48506.52330753666,24090.774438716428,26354.51449197163,1630.8972790420075,-899.5800235140109,64936.91151193979,62449.18062551812,64862.39321652096,77026.93675486473
Senegal,-55004.03022908517,-62385.25522231982,8315.34969378594,-63111.39808640124,65145.41147899559,94769.78529218408,58762.52046758033,27431.85361704699,169880.63624909395,164751.05727458704,217653.0022322421,220639.03539346528
Mauritania,-109761.89560381022,-206339.9554669789,12527.196863521702,-231565.76662707824,425829.83630029554,560489.7459916349,239053.3719368543,160789.20616768362,828885.6069046799,838519.0700609973,1146855.9867818872,1162660.6402979577
Côte d'Ivoire,-53232.88585749768,-51438.3470964208,31367.74244061645,-56390.58062749376,164760.76253108605,216609.71470941955,104694.82741350896,187687.2997299088,382498.8329298377,309163.5652385436,385801.7053268101,428101.8105191707
Sierra Leone,-29395.38885918812,-24853.83548213656,-12408.655477040013,-33608.239119718826,20849.49441271411,23105.15357580258,8289.228526891293,6510.873642004896,51637.24688706046,50950.371891348725,47397.51245405052,50877.87574013528
Mali,-279269.07704370853,-413331.5764823028,-58827.95340981212,-433256.0215200544,323144.0220641189,589576.5624650719,181501.127492405,233660.7947447766,920253.7561145446,764368.5495885946,1118210.7117154798,1220732.988216318
Togo,-13105.21280256966,-11538.006094432489,3515.9517569895856,-9602.704615041148,25766.68426588213,35226.977568812654,18205.78277079109,31401.28977348408,60620.465369080666,60488.46954279009,59022.19541799816,66887.90455916153
Guinea,-73668.64476954103,-102787.44541443857,-36824.005379965885,-94292.06988238616,82693.33823638357,101481.58037649097,51172.94107370303,60209.29962965894,190207.8730839568,178872.45873125907,171700.52914899314,196335.6875587342
Ghana,2278.180945893528,21249.974774612005,53648.01838137164,30655.562329121665,202879.1635237797,267914.2582131951,211601.45699264508,292698.912902064,478013.8020596398,323654.69702151406,484375.8071919883,541557.3419750226
Jamaica,38851.9781576739,36226.28741655775,40526.50021131037,37358.71021086164,45825.57320176376,48150.59754502302,48589.13677722702,43359.7209262218,51530.75148013636,46625.54089483112,55307.49678673924,44846.40561766289
Grenada,1242.9022747939105,1047.9750083399313,1158.4338206246005,1087.2135017878618,1308.096049148331,1267.084472443274,1256.1537090518814,1201.7111328518854,1311.0618964367056,1245.074619588256,1400.2073663922497,1326.207245534483
Dominican Republic,83624.03733752546,75923.57773628237,105460.42820471416,87959.77047511766,130184.75992111916,155286.171350508,169149.53425354982,155503.84911988018,213104.4163841899,212173.22830985577,260561.27545782857,262276.65136411536
Barbados,5551.208382726521,5815.416035152406,5789.26231272577,5732.8241191519965,6225.327679809036,6262.790644978104,6463.042187102373,5942.238616118033,6245.180864196838,5559.730554788956,6736.591635687562,6465.533445950057
Dominica,273.9232893246639,25.260513561564576,434.7093764099647,185.25878211754585,325.5965715726462,453.4509735044508,628.3713672595387,762.6608442438719,1056.9583779633992,1021.0626635439442,1323.822088406827,1192.1381847610216
Trinidad and Tobago,80866.32187440446,82617.52883622445,82506.63488002491,78417.69732425323,82808.32599958651,87043.5701107352,92229.84997652796,90655.81931070887,86294.65828541438,79726.54294866312,93916.16988904802,89772.67621960417
Bahamas,17615.35804125638,16616.13943116048,15955.88907729454,6966.531369130867,19923.28351708591,22659.808463167607,17226.389330029757,16076.000600541682,24515.117456479893,22812.35529055176,28786.53696427245,28153.873393312308
Saint Kitts and Nevis,1176.9328879263703,1364.7410499497105,1421.3813507201114,1303.9777539292315,1554.1036856834664,1670.5522661341756,1773.2759683329257,1574.7196728004262,1550.1692081552806,1590.6102720267058,1866.970080100848,1563.858159631257
Saint Lucia,3455.4937971599256,3212.835898864434,3491.190799789013,3183.5729002402954,3710.5449813988607,3633.66151712339,3789.120644439984,3662.3506119014864,3922.466739393242,3157.8088956550646,3507.1393519991752,2867.3186088394013
Antigua & Barbuda,3191.669021237195,3237.5553150635737,3518.4097968808405,3113.474549178952,3440.3198494054136,3320.2810481392185,3267.530004398169,3264.434629954084,3400.1460624194374,3602.384570880762,4361.085826514226,3812.5402259281504
Haiti,-2560.782889073675,-10974.460295492088,915.679507844005,-9189.474984758088,11462.239313898155,17284.35851550979,8289.297530993059,5993.570956162568,19420.11972686965,11821.85114703055,25855.96522683677,22738.59930220167
Cuba,77234.42023203697,78311.73266751404,100854.9220257716,73184.46999654821,149873.09028927656,168760.63249988807,155592.56348164994,125389.84292769503,180553.52074805484,148581.88044952476,201714.7134708208,183706.59724078045
Saint Vincent and the Grenadines,532.9031526051118,416.8863483121681,536.712460318431,506.2334621227211,747.1197490997007,805.292709515128,811.8787288826885,706.3441283539878,804.4871282780545,641.971685158279,981.7032477116688,950.4516448369798
Belize,1587.493649397336,696.5037977779172,3696.4159773863175,-2830.3271552675,12509.509035256437,16614.8215129601,13211.230606485487,7196.560198527148,21545.75977881209,22787.122656517684,28543.95639707057,29095.96052396413
Guatemala,55414.30389342869,48266.136664050486,72108.02647056666,45270.977623284016,125414.71847220905,140170.1469241097,124365.10089444692,102017.22655119974,177511.5214711836,147848.69838600516,195014.868570392,206554.8507346994
Honduras,39803.55233977531,32855.35324913436,51430.465282617566,21942.57595490576,110175.79614084055,121716.78097005012,106552.89055230592,94371.4800620834,140440.01016197694,120385.33018826506,162249.39073661645,164818.8524744513
Nicaragua,-11841.938144851982,-26638.94011840105,-7218.991981861066,-33894.03174240901,61985.77193436957,80203.6207209356,54003.68599453884,34508.640635047566,106452.8694360387,90686.02740290464,124069.33280470388,123510.19429884828
